date,type,category,index
2023-10-01,input,herbicides,117.8816562726108
2023-10-01,input,other_plant_protection_products,260.928382795125
2023-10-01,input,veterinary_services,105.6102797948266
2023-10-01,input,animal_feedingstuffs,131.12340145780468
2023-10-01,input,straight_feedingstuffs,123.59368293335332
2023-10-01,input,cereal_and_milling_by_products,118.59753286944878
2023-10-01,input,feed_wheat,116.17653982075934
2023-10-01,input,feed_barley,130.35678737374715
2023-10-01,input,feed_oats,137.81542570988012
2023-10-01,input,oilcakes,130.00719840280004
2023-10-01,input,soya_bean_meal,136.25604855531063
2023-10-01,input,sunflower_seed_meal,97.13869772803919
2023-10-01,input,rape_seed_meal,117.22815016751393
2023-10-01,input,products_of_animal_origin_incl_white_fish_meal,118.14228566733294
2023-10-01,input,other_straights,122.52463457959732
2023-10-01,input,field_peas,111.6528789359587
2023-10-01,input,field_beans,103.36049962441831
2023-10-01,input,soya_beans,132.20150179330764
2023-10-01,input,compound_feedingstuffs,133.99105221693048
2023-10-01,input,compound_feedingstuffs_for_cattle_and_calves,136.01705426098968
2023-10-01,input,compound_feedingstuffs_for_pigs,127.92854523582731
2023-10-01,input,compound_feedingstuffs_for_poultry,134.4860241200879
2023-10-01,input,compound_feedingstuffs_for_sheep,136.88274585590065
2023-10-01,input,maintenance_of_materials,121.54445037796356
2023-10-01,input,maintenance_of_buildings,136.97491465043788
2023-10-01,input,other_goods_and_services,117.7884872793695
2023-10-01,input,goods_and_services_contributing_to_investment,126.43371206930296
2023-10-01,input,materials,121.57434689801642
2023-10-01,input,machinery_and_other_equipment,123.59233159141226
2023-10-01,input,plant_and_machinery_for_cultivation,129.99088422971744
2023-10-01,input,farm_machinery_and_installations,99.99239686048821
2023-10-01,input,transport_equipment,119.9660922467606
2023-10-01,input,tractors,120.75053439949328
2023-10-01,input,other_vehicles,116.75473125289061
2023-10-01,input,buildings,136.86508874499586
2023-09-01,output,all_agricultural_outputs,127.41801954828367
2023-09-01,output,crop_products,124.6893214688559
2023-09-01,output,cereals,125.93060710821477
2023-09-01,output,wheat,118.61129316833735
2023-09-01,output,wheat_feeding,114.77128989574072
2023-09-01,output,wheat_breadmaking,136.51434178638863
2023-09-01,output,wheat_other_milling,116.72449857515896
2023-09-01,output,barley,137.75376602248483
2023-09-01,output,barley_feeding,126.55222593529056
2023-09-01,output,barley_malting,162.0535658022054
2023-09-01,output,oats,144.4827111617494
2023-09-01,output,oats_milling,147.49046985916237
2023-09-01,output,oats_feeding,143.07522835615666
2023-09-01,output,potatoes,192.15832897239363
2023-09-01,output,industrial_crops,112.31160870126632
2023-09-01,output,oilseed_rape_non_set_aside,109.23161461672312
2023-09-01,output,sugar_beet,131.412837039082
2023-09-01,output,forage_plants,86.35004981733645
